재료_아이디,재료_이름,제철,보관온도,100g당 열량,잘맞는 음식,안맞는 음식,효능,구입요령,손질법,조리법,보관법,설명
1000,꼬투리강낭콩,"여름이 제철(6,7,8월)",,,,,"단백질, 비티민, 섬유소가 모두 풍부.","생꼬투리강남콩의 경우 전체적으로 탄력이 있고 통통하여 굵기가 일정한 것이 좋으며, 꼬투리 끝이 뾰족한 것이 좋다. 냉동 그린빈의 경우 색이 선명하고 연한것으로 고른다.",강낭콩 어린 줄기로 이름이 다양하다. 연하고 아삭한 껍질을 그대로 먹는다.특징이다. 그린빈은 냉동 제품이 많이 나와 있다.,"줄기콩의 위아래 꼬투리를 잘라 내고, 조리한다. 소금물에 잠간 데치면 아삭한 식감과 선명한 색감을 만들수 있다. 서양 요리에서는 버터나 오일에 살짝 볶아서 가니쉬로 많이 곁들인다. 기름과 함께 섭취하면 베타카로틴의 흡수율을 높일 수 있다.","밀봉해 냉장 보관시 온도가 너무 낮으면 갈색으로 변하니 채소칸에 보관하고, 3~4일 이내 먹을 수 없다면 끓는 물에 데친 후 물기 제거 후 밀봉하여 냉동 보관한다.",
1002,김치용 풀,,,,,,,,,마른 찹쌀가루로 쑬때는 찹쌀가루 :물 = 1:10 비율로 풀을 쑨다.,오래 두면 삭아 묽어지므로 바로 사용하는 것이 좋다.,"김장용 풀은 계절별로 사용한다.
김장용으로는 찹쌀풀, 여름에는 보리풀이나 감자풀을 쑨다."
1005,물,,,,,,"장기능 개선, 노폐물 제거, 피로회복, , 혈액순환",생수의 경우 유통기간이 1~3년 있으니 확인 하고 구매.,,,"생수의 경우 서늘하고 직사광선이 없는 곳에서 보관하고, 개봉후에는 냉장 보관한다.","생수의 종류는 샘물, 우물물, 정화수, 광천수, 탄산수가 있다. 
우리몸의 50~60%는 물이 차지하고 있어, 물을 많이 마시면 몸의 채액의 균형을 유지되어 신체 균형이 도움이 된다"
1006,멸치가루,,0~5℃,232Kcal,,,"두뇌발달, 칼슘섭취, 골다공증 예방",특유의 향과 가루가 뭉치지지 않는것을 구입하는 것이 좋다.,"마른 멸치의 내장, 머리를 제거하고 볶아 분쇄한 것 쉽게 만들어 사용할 수 있는 천연조미료이다. 시판되는 제품에서도 함량100% 제품도 쉽게 찾아볼 수 있다.",국이나 찌개 등 육수 대용으로 사용한다.,냄새를 잘 흡수하므로 밀봉하여 냉장 보관한다.,
1007,누텔라,연중,,545Kcal,,,,유통기한 확인후 구입한다.,,"빵, 비스킷 쿠키에 발라먹거나 찍어먹는다.",직사광선을 피하고 상온에서 보관한다,"누텔라(Nutella)는 개암 페이스트를 베이스로 설탕, 코코아, 탈지 분유, 향료, 유화제 등의 재료를 혼합한 초콜릿맛 스프레드이며 이탈리아의 페레로가 출시한 제품이다. 페레로 로쉐에 들어있는 초콜릿 잼이 바로 누텔라이다."
1008,즉석밥,연중,18~22℃,310Kcal,,,,포장상태가 불량하지 않으며 유통기한을 확인후 구입한다.,구입후 바로 사용가능하다,"전자레인지에 조리하여 사용하거나, 밥의 조리재료로 사용가능하다",직사광선을 피하고 서늘한 곳에서 상온보관한다.,
1009,돌나물,3월~5월,1~5℃,11Kcal,,,"다이어트, 식용 촉진, 성인병 예방",잎이 무르지 않고 형태가 뾰족하고 통통한것으로 구입한다.,깨끗히 손질후 물에 살살 흔들어 세척한다.,"생채로 무침요리에 많이 쓰이며 김치, 샐러드 등으로 조리가능하다",비닐팩에 담아 냉장보관시 최대 5일까지 보관가능하다,"지역에 따라 '돈나물'이라고도 불리는 돌나물은 상큼한 향이 있으며, 자생력과 번식력이 강해 산과 들에서 쉽게 볼 수 있다. 독특한 향미가 있어 주로 물김치를 담거나 초장에 묻혀 먹는다"
1010,닭육수,,,95Kcal,,,,"시판용 치킨부용, 액상부용, 파우더 구입시 유통기한에 확인한다.",,"직접 끓인 육수 : 닭, 물, 마늘, 후추, 파, 대파을 넣고 끓여 체에 걸러 사용한다. 시판용 가루나 고형 제품 : 제품 표면 표기 사항을 읽고, 끓는 물에 비율 맞춰 섞어 사용한다.","1~2일 내 사용시 이물질이 들어가지 않게 냉장보관, 장기로 사용시 1회 분량씩 밀봉하여 냉동보관한다.",
1011,푸실리,연중,10~15℃,357Kcal,,,,구입시 유통기한을 확인한다.,소금물에 삶아 취향대로 익혀 사용한다.,"다양한 소스와 함께 파스타, 샐러드등 으로 사용한다.",밀봉하여 서늘한곳에 보관한다.,"숏 파스타에 해당하는, 파스타의 일종. 푸실리라고도 한다. 이름의 의미는 실뭉치. 스프링 혹은 꽈배기처럼 생겼으며, 간식거리로 자주 사용된다"
1012,홀토마토,연중,1~5℃,20Kcal,,,"비타민C, 암예방, 콜라겐 형성",캔의 포장재가 불량하지 않는것으로 구입한다.,즉시 사용가능하다,"토마토를 재료로 사용하는 요리에 주로 사용된다. ex) 토마토소스, 피자소스 등",개봉후 밀폐용기에 담아 냉장.냉동 보관한다.,산 마르자노 같은 타원형의 가공용 토마토를 껍질만 벗겨 통째로 포장한 것이다. 보통 토마토즙을 함께 넣는다. 요리할 때는 잘 으깨서 사용하면 된다.
1013,칼국수,,,102Kcal,,,,제조일 확인 후 구매.,생면의 경우 밀가루 타분을 잘 털고 사용하는 것이 좋다.,칼국수는 면을 따로 삶지 않고 육수에 바로 넣고 끓이는 제물국수의 한 종류로 햇밀이 나는 초여름의 계절 음식으로 칼국수를 즐겼다.,"생면인 경우는 구매 후 바로 소비하고, 남은 국수는 소분하여 냉동 보관한다. 건면인 경우는 잘 포장해서 서늘한 곳에서 보관한다.","밀가루, 소금, 물로 반죽해서 얇게 펴서 자른 면.
 생면-반죽을 해서 바로 만든것으로 유통기간이 짧고, 수분감이 좋아 맛있음.
 건면 - 면을 만들어 말려서 보관하는 것으로 유통기간이 1년이상이다."
1014,열무김치,봄~여름,1~5℃,33Kcal,,,"기억력 향상, 시력향상, 다이어트, 여름철 원기회복","포장재가 완전하고, 유통기한을 확인후 구입한다.",,"주로 반찬으로 먹고, 밥이나 면에 곁들여 먹기도 한다.",밀봉하여 냉장보관한다.,"주로 여름 김치로 담그거나, 구입 한다."
1015,콩가루,연중,-20~0℃,385Kcal,,,"고지혈증 예방, 다이어트","냄새가 없으며 색상이 흰색이고, 이물질 없는것이 좋다.","사용전 이물질이 없는지 확인하고 사용한다. 떡, 국, 나물 조리시 첨가한다.",,오래 보관시 냄새가 나기 쉬운 제품으로 소량씩 밀봉하여 냉동보관한다.,"콩가루는 마른 콩을 볶아서 가루낸 것 , 마른 콩을 가루낸 것 2가지 종류가 있다. 날콩가루는 선식에 , 볶음 콩가루는 미숫가루에 사용 된다."
1016,풋마늘,3월~4월,1~5℃,44Kcal,,,"면역력 향상, 스트레스 조절, 노화방지, 성장발육, 원기회복",겉잎 마르지 않고 신선한 것으로 구입한다.,세척후 사용한다.,"볶음, 장아찌, 김치의 재료로 주로 사용된다.",키친타올로 감싸 밀봉후 세워서 냉장보관한다.,"이름 봄 3월의 제철재료는 풋마늘은 아직 덜 여물 마늘이라는 뜻이 있으며, 이 시기가 지나면 섬유질이 많아 질겨 풍미가 떨어지고 생김새는 대파와 비슷하기도 하다."
1018,갓김치,"가을, 겨울",,52Kcal,,,"엽산, 비타민이 풍부하여 암을 예방, 면역기능 향상",구매시에는 김치의 특성상 익힘 정도 확인.,,,,전란도 돌산 갓김치가 유명. 겨자와 비슷한 톡 쏘는 맛의 김치.
1019,자일로스설탕,,10~15℃,,,,,유통기한 및 포장상태를 유의한다.,,단맛이 필요한 각종요리에 사용되며 입자가 고와 사용시 편리하다.,밀봉하여 서늘한곳에 보관한다.,"자일로스와 설탕이 일정비율로 섞인 기능성 설탕으로 설탕이 체내 흡수되는것을 낮추어주고, 설탕의 단맛을 유지하는것이 특징이다. 제품에 따라 황설탕도 자일로스형태로 출시되어져있다."
1020,돈가스소스,,0~5℃,,,,,,,주로 돈가스와 곁들여먹는 딥핑 소스이다. 다른 소스나 양념의 재료로 사용되기도 한다.,"개봉후 냉장보관한다,","양파, 우스터소스, 설탕, 간장, 와인등을 넣고 조려 조리한 소스이다. 
돈가스, 튀김에 찍어먹는다."
1021,오이지,여름,0~5℃,,,,,,,"무침, 냉국등의 다양하게 활용가능하다.","물기가 들어가지 않도록 유의하고, 냉장보관한다.","소금에 절여 익혀 만든 여름철 저장식품이다. 
소금물을 끓이거나, 소금을 직접 뿌리는 방법 등이 있다."
1022,발사믹크림,,0~5℃,,,,,,,"카프레제, 샐러드 등에 사용된다.",개봉 후 냉장보관한다.,"발사믹식초, 설탕, 꿀 등을 넣고 조려 만든다."
1023,호박잎,7월~10월,,27Kcal,된장,,"항암예방, 다이어트, 식이섬유품부",잎이 연하고 연한 녹색을 띠며 질기지 않은 어린순이 달린것을 구입한다.,,"줄기부분의 섬유질을 제거하고 익혀 쌈이나, 생선조림 등과 같이 조리한다.",물기를 제거하여 키친타올에 싸 냉장보관한다.,호박의 어린잎으로 잎이 넓고 털이 많은것이 특징이며 섬유소와 비타민이 풍부하여 다이어트 식품으로 좋다.
1024,전분물,,,,,,,,전분의 양과 물의 양을 1:1로 섞어 잘 혼합해 사용한다.,주로 소스류의 걸쭉한 농도를 낼때 만들어 사용한다.,사용할만큼만 만들어 사용한다.,전분과 물을 1:1로 섞어 요리의 농도를 맞출때 사용한다. 소스와 재료가 잘 엉킬수있게 도와준다.
1025,조랭이떡,연중제철,,217Kcal,,,,,물에 불려 사용하거나 끓는물에 데쳐 사용한다.,"떡국, 떡볶이등 다양하게 활용할수있다.",장기보관시 냉동보관한다.,"가래떡보다 가늘고 민 다음 가운데를 잘록하게 눌러 만든 개성지방의 떡. 
조랭이떡이라는 이름은 조롱박 모양에서 왔다는 설과 누에고치 모양에서 왔다는 설이 있다."
1026,육수,,,,,,,,"육수를 내는 재료들 손질을 깨끗이 해주면 더 맑은 국물이 되고, 같이 끓이는 채소 종류에 따라 맛이 변한다. 무, 콩나물, 대파등이 들어가면 시원한 맛, 양파, 당근등 들어가면 단맛이 더해 지고, 술이나 허브가 들어가면 잡내를 제거해 준다.",,"직접 끓인 육수는 빠르게 식혀서 냉장보과는 하루 이내로 사용하고, 냉동보관시는 1회 사용분씩 소분하여 20일 이내 소비하는게 좋다.","고기나, 생선등을 끓여서 나오는 국물을 의미. 
육수의 주재료는 쇠고기, 양고기, 닭고기, 생선, 조개, 건어물 등이 있고, 나라별, 조리법별 다양한 육수가 있다.
한식에 주로 사용되는 육수는 멸치다시마육수, 조개 육수, 건새우멸치등으로 끓이는 해물육수, 닭뼈로 끓이는 닭육수, 쇠고기로 끓이는 소고기육수 등이 있다.
주재료에 따라 육수의 종류를 결정한다."
1028,만능간장,,,,,,"조림간장, 조림 간장, 조림용 간장, 만능 간장",,,"단맛, 감칠맛이 있어서, 조림을 할때 사용하면 좋음.","수제 만능간장의 경우 염도가 낮은 경우가 많으므로 냉장 보관하고 사용.하고, 시판용의 경우는 제품별로 사용 방법을 숙지 한다.","만능 간장, 조림 요리의 조림장이나 무침 요리, 양념장에 간장 대신 사용하면 감칠맛, 단맛이 좋음. 
쉐프별로 다양한 재료를 써서 만든 간장 레시피가 있음. 시판용도 나와 있음."
1029,천연조미료,,,,,,,,시판용이 다양하게 나와 있음. 수제로 만들때는 마른 원물재료를 곱게 분쇄해서 사용한다.,,수제 가루 천연 조미료의 경우 냉동 보관.,"다시마, 쇠고기, 새우, 멸치, 버섯, 채소 등 원물 재료를 말려서 갈아서 만든 첨가물로 윰식의 감칠맛을 올려주는 역할을 한다.
다양한 종류가 있어서 요리에 주재료에 따라 비슷한 것을 사용하므로써 요리의 맛을 올려주는 역할을 한다."
1030,채소,,,,,,,,"세척 후 급격히 상하는 경우가 많으니, 먹기 직전에 손질하는 것이 좋고, 흐는 물에 조심해서 세척하는 것이 좋다.",,,"산과 들에서 자생하는 푸성귀, 심어서 가꾼 무,배추 등을 초본성의 식물. 수분이 낳으며 저장이 곤란한것들이 많다.
우리나라 요리에서는 익혀서 먹는 나물이나 고기,생선과 함께 끓여서 먹고, 서양에서는 샐러드처럼 생식하는 경우가 많다.
나물용 채소로는 초록 채소와 흰색 채소로 분류되어 조리법이 다르다.
나물용 초록 채소 - 시금치, 깻잎나물, 참나물 등
나물용 흰색 채소 - 콩나물,숙주나물, 무, 도라지 등등"
1031,양념장,,,,,,,시판용의 경우 유통 기간 확인 후 구매,"미리 많들어 숙성 시켜서 사용하기도 함. 100g 불고기 양념의 기본 - 간장 1숟가락, 설탕 1/2숟가락, 다진마늘 1톨분, 다진파,깨소금, 참기름, 후춧가루",,만들어 밀폐용기에 담아 냉장 보관. 빠르게 소비.,"고추장, 된장, 간장, 식초, 소금등의 양념이 되는 여러 소스류를 섞어서 만든 것.
주재료의 맛을 올려주거나 더해주는 역활을 하는 것. 
주로 간장 양념장, 고추장 양념장으로 많이 사용.
간장 양념장 - 간장을 베이스로 설탕,, 깨소금, 참기름, 파, 마늘, 고춧가루등을 혼합.
고추장 양념장 - 고추장을 베이스로, 고춧가루, 간장, 설탕, 파, 마늘, 참기름, 깨소금등을 혼합."
1032,시럽,,,,,,,,일반적으로 요리에 사용시 직접 만드는 시럽은 물 : 설탕 = 1: 1을 긇여 만든다.,,,"설탕을 녹여서 만든 액상 설탕. 
시판 되는 제품에는 원료에 따라 맛과 향이 다르다. 
카레멜 시럽(카라멜화한 설탕을 시럽으로) 
딸기시럽(딸기에 설탕을 넣고 끓여 만든 시럽) , 
메이플 시럽, 아가베 시럽, 
커피 시럽(커피향을 농축해 만든)
바닐라시럽(바닐라 향을 넣은 시럽) 등 다양한 쓰임새로 제품이 있음."
1033,원당,,,,,,,,우리나라 황설탕은 백설탕에 카라멜를 입혀 만든 설탕.,,수분과 만나면 딱딱하게 굳으니 밀폐용기에 보관.,"정제하지 않은 설탕. 탈색되지 않은 황갈색 설탕.
설탕은 설탕수수대에서 당분을 축출한 원당( 황설탕)과 원당을 가공한 백설탕으로 구분"
1034,불고기,,,,,,,시판용은 즉성해서 바로 만든것이 좋음.,,,"바로 소비하는 것이 제일 좋고, 냉동 보관시 일주일내 소비.","쇠고기, 돼지고기 등을 얇게 저며서 양념에 재웠다가 불에 구워 먹는 한국 요리.
소불고기가 일반적이나, 돼지불고기, 닭불고기도 있다.
일반적으로 불고기감은 얇게 저민 고기를 말함.
불고기법은 다양하다. 
종류 - 
간장, 설탕, 배즙 등으로 만든 양념에 재워 구워 먹는 것이 일반적이지만, 
고기 본연의 맛을 살리기 위해 소금 간 정도만 하여 구워 먹는 경우도 있음. 
사리원불고기, 육수불고기 (양념한 고기에 채소와 당면을 넣고 육수를 자박하게 만듬)
광양불고기(석쇠를 이용해 육수 없이 구워 먹음)
언양 불고기 ( 고기를 굵게 채 썰어 양념한 후 석쇠에 구어 먹음)"
